rank,candidate_id,name,career_stage,years_experience,location,expected_ctc_lpa,notice_period_days,skill_match_score,semantic_skill_score,required_skills_matched,matched_skills,experience_score,yoe_score,prestige_score,platform_score,github_score,linkedin_score,education_score,college_tier,cgpa,behavioral_score,fit_score,semantic_profile_score,rule_based_score,composite_score,ranking_method
11,CAND_0379,Candidate_379,mid,4,Chennai,49.4,60,42.55,56.58,4/8,"python, ml, nlp, sql",87.75,100,65.0,55.28,71.8,30.5,58.39,IIT,6.15,68.24,96.25,51.22,64.31,59.73,hybrid (tfidf)
12,CAND_0100,Candidate_100,junior,2,Remote,47.9,90,29.96,55.43,1/8,python,74.6,80,86.0,81.67,72.5,95.5,85.86,IIT,8.89,75.31,75.25,51.38,63.74,59.42,hybrid (tfidf)
13,CAND_0129,Candidate_129,senior,8,Pune,38.5,30,35.41,54.73,2/8,"ml, sql",77.89,95,61.1,56.54,33.4,91.2,72.95,Tier-2,9.69,97.63,87.5,51.26,63.74,59.37,hybrid (tfidf)
14,CAND_0156,Candidate_156,senior,8,Kolkata,17.9,15,32.9,54.54,2/8,"ml, sql",81.97,95,72.8,57.63,38.3,86.6,60.18,Tier-3,9.31,100.0,92.05,51.21,63.5,59.2,hybrid (tfidf)
15,CAND_0472,Candidate_472,senior,9,Hyderabad,29.6,60,41.85,56.9,3/8,"python, ml, nlp",77.88,90,65.0,50.48,71.4,19.1,72.56,NIT,8.78,75.32,96.25,51.54,63.19,59.11,hybrid (tfidf)
16,CAND_0368,Candidate_368,senior,11,Pune,9.4,0,38.0,55.18,2/8,"ml, sql",79.01,80,83.2,51.26,37.9,71.4,77.99,IIT,7.81,95.03,80.25,51.0,63.34,59.02,hybrid (tfidf)
17,CAND_0380,Candidate_380,mid,4,Bangalore,25.8,30,26.33,52.02,1/8,sql,76.0,100,57.1,73.86,65.1,87.0,53.89,Tier-2,7.59,100.0,100.0,50.8,63.3,58.93,hybrid (tfidf)
18,CAND_0336,Candidate_336,mid,4,Bangalore,54.4,15,38.38,53.94,3/8,"python, ml, sql",89.1,100,86.0,30.29,30.2,30.4,82.41,BITS,8.93,95.23,85.92,51.37,62.92,58.88,hybrid (tfidf)
19,CAND_0432,Candidate_432,mid,3,Mumbai,30.8,15,38.34,56.15,2/8,"python, ml",77.4,100,59.0,52.71,65.5,33.5,73.6,Tier-2,9.78,78.99,96.25,51.35,62.9,58.86,hybrid (tfidf)
20,CAND_0365,Candidate_365,senior,7,Remote,47.3,15,29.29,53.5,1/8,ml,92.3,100,78.0,56.63,79.3,22.6,46.51,Tier-3,7.95,100.0,87.5,50.95,62.69,58.58,hybrid (tfidf)
21,CAND_0292,Candidate_292,mid,4,Kolkata,23.9,60,37.04,59.41,2/8,"python, nlp",89.8,100,88.0,57.75,77.8,27.6,60.79,IIT,6.48,53.29,96.25,51.45,62.3,58.5,hybrid (tfidf)
22,CAND_0030,Candidate_30,mid,3,Hyderabad,16.6,60,26.29,51.89,1/8,sql,91.75,100,100.0,57.83,76.2,30.3,61.44,Tier-2,9.14,98.25,80.7,50.48,62.52,58.31,hybrid (tfidf)
23,CAND_0475,Candidate_475,mid,4,Hyderabad,57.2,30,30.37,56.58,1/8,nlp,73.7,100,42.0,84.79,86.7,82.0,49.66,Tier-2,7.01,100.0,64.46,51.2,62.0,58.22,hybrid (tfidf)
24,CAND_0468,Candidate_468,mid,3,Chennai,35.2,90,35.4,52.39,3/8,"python, ml, sql",98.5,100,100.0,41.09,12.7,83.7,78.47,IIT,8.39,70.36,75.25,51.03,62.09,58.22,hybrid (tfidf)
25,CAND_0231,Candidate_231,mid,3,Delhi,10.1,30,32.22,52.58,2/8,"python, nlp",86.85,100,86.0,60.26,35.1,98.0,52.09,Tier-2,6.83,90.78,80.25,50.91,61.93,58.07,hybrid (tfidf)
26,CAND_0013,Candidate_13,senior,5,Hyderabad,54.0,30,29.72,54.73,1/8,python,83.65,100,64.0,61.51,80.3,33.2,77.41,IIT,7.73,80.81,74.7,50.99,61.68,57.94,hybrid (tfidf)
27,CAND_0372,Candidate_372,senior,6,Remote,30.1,90,35.94,56.25,2/8,"python, sql",98.5,100,100.0,22.48,10.0,41.2,86.38,IIT,8.96,84.0,75.25,51.64,61.06,57.76,hybrid (tfidf)
28,CAND_0430,Candidate_430,junior,2,Delhi,46.6,90,32.6,53.69,2/8,"nlp, sql",64.75,80,45.0,73.89,78.6,66.9,63.53,Tier-3,9.77,100.0,75.25,51.05,61.2,57.65,hybrid (tfidf)
29,CAND_0031,Candidate_31,senior,10,Remote,10.2,60,29.44,53.94,1/8,python,80.77,85,83.6,62.93,40.9,96.0,74.68,NIT,9.07,86.72,71.5,50.81,61.22,57.58,hybrid (tfidf)
30,CAND_0303,Candidate_303,mid,4,Pune,50.9,0,30.1,53.5,2/8,"nlp, sql",87.75,100,65.0,44.6,14.0,90.5,85.02,IIT,8.26,63.71,93.37,51.37,60.57,57.35,hybrid (tfidf)
31,CAND_0491,Candidate_491,mid,3,Hyderabad,43.5,30,35.27,52.02,3/8,"ml, nlp, sql",91.75,100,100.0,47.76,72.7,10.3,48.83,NIT,6.04,68.49,96.25,50.77,60.72,57.24,hybrid (tfidf)
32,CAND_0162,Candidate_162,mid,3,Delhi,24.7,60,26.22,51.69,1/8,python,98.5,100,100.0,56.04,75.9,26.2,37.95,Tier-3,7.29,74.06,96.25,50.8,60.45,57.07,hybrid (tfidf)
33,CAND_0352,Candidate_352,mid,2,Chennai,6.9,0,23.78,51.69,1/8,python,71.8,80,78.0,62.52,85.3,28.4,81.39,IIT,8.79,98.75,80.25,50.66,60.22,56.88,hybrid (tfidf)
34,CAND_0422,Candidate_422,mid,5,Delhi,49.3,90,35.57,52.89,3/8,"python, nlp, sql",93.45,100,92.0,38.18,39.6,36.0,63.85,IIT,6.9,78.92,75.25,51.03,59.9,56.8,hybrid (tfidf)
35,CAND_0355,Candidate_355,mid,4,Chennai,35.7,15,20.89,52.72,0/8,,87.0,100,80.0,65.32,87.4,32.2,55.8,NIT,7.51,76.23,96.25,50.82,59.99,56.78,hybrid (tfidf)
36,CAND_0481,Candidate_481,junior,2,Kolkata,34.9,0,29.84,55.09,1/8,nlp,77.0,80,80.0,54.84,70.0,32.1,85.17,IIT,8.28,64.79,87.5,51.42,59.51,56.68,hybrid (tfidf)
37,CAND_0313,Candidate_313,mid,4,Delhi,46.9,15,23.85,51.89,1/8,python,79.0,100,40.0,62.08,36.8,100.0,68.33,BITS,7.0,75.8,96.25,50.75,59.75,56.6,hybrid (tfidf)
38,CAND_0349,Candidate_349,senior,7,Hyderabad,57.6,0,29.96,53.1,2/8,"python, ml",84.5,100,68.6,51.15,81.1,6.2,75.88,IIT,7.52,78.16,71.93,51.2,59.38,56.52,hybrid (tfidf)
39,CAND_0146,Candidate_146,senior,10,Kolkata,24.6,90,38.59,56.87,2/8,"nlp, sql",81.09,85,84.5,46.47,14.8,94.0,67.53,IIT,6.89,71.16,75.25,51.41,59.18,56.46,hybrid (tfidf)
40,CAND_0005,Candidate_5,junior,0,Mumbai,27.7,30,38.76,55.04,3/8,"python, ml, sql",34.5,40,20.0,84.75,77.5,95.7,58.49,NIT,6.85,94.37,96.25,51.04,59.38,56.46,hybrid (tfidf)
41,CAND_0070,Candidate_70,mid,2,Hyderabad,37.2,15,27.08,54.16,1/8,python,84.0,80,100.0,51.0,83.3,2.6,82.15,IIT,8.38,59.11,96.25,50.75,59.54,56.46,hybrid (tfidf)
42,CAND_0405,Candidate_405,junior,2,Delhi,19.4,60,30.19,53.77,2/8,"nlp, sql",84.0,80,100.0,53.87,64.2,38.4,59.41,NIT,7.49,75.69,86.3,50.98,59.37,56.44,hybrid (tfidf)
43,CAND_0417,Candidate_417,mid,4,Pune,40.3,30,33.09,55.09,2/8,"ml, sql",82.45,100,67.0,32.84,31.2,35.4,60.99,Tier-2,8.05,94.16,96.25,51.47,59.12,56.44,hybrid (tfidf)
44,CAND_0466,Candidate_466,junior,2,Ahmedabad,47.6,0,28.9,52.39,1/8,ml,77.0,80,80.0,61.23,84.1,26.9,59.22,Tier-2,9.35,72.61,96.25,50.77,59.44,56.41,hybrid (tfidf)
45,CAND_0334,Candidate_334,junior,1,Remote,56.9,60,23.83,54.16,0/8,,69.5,60,100.0,81.45,69.1,100.0,81.43,IIT,9.31,67.2,74.17,50.86,59.38,56.4,hybrid (tfidf)
46,CAND_0381,Candidate_381,junior,2,Chennai,31.0,0,38.49,56.58,2/8,"python, ml",77.0,80,80.0,46.68,71.2,9.9,54.76,Tier-2,7.71,70.44,96.25,51.29,59.03,56.32,hybrid (tfidf)
47,CAND_0016,Candidate_16,senior,5,Kolkata,51.7,60,37.41,53.5,2/8,"ml, nlp",81.25,100,67.9,44.57,7.6,100.0,53.3,Tier-2,7.51,75.6,90.81,51.1,59.09,56.29,hybrid (tfidf)
48,CAND_0106,Candidate_106,mid,5,Ahmedabad,31.3,30,26.58,52.72,1/8,ml,84.5,100,77.1,36.55,37.4,35.3,72.81,IIT,7.1,89.21,96.25,51.25,58.97,56.27,hybrid (tfidf)
49,CAND_0421,Candidate_421,mid,5,Chennai,44.8,15,29.83,52.72,2/8,"python, nlp",83.65,100,64.0,57.32,31.9,95.4,38.98,Tier-2,6.06,86.93,87.5,50.86,59.01,56.16,hybrid (tfidf)
50,CAND_0153,Candidate_153,senior,10,Pune,13.4,60,40.6,53.33,3/8,"python, ml, sql",69.7,85,59.3,43.61,12.5,90.3,79.77,IIT,7.54,80.49,74.3,50.99,58.82,56.08,hybrid (tfidf)
51,CAND_0107,Candidate_107,senior,6,Hyderabad,7.5,15,35.78,55.79,2/8,"python, ml",77.5,100,40.0,45.97,14.0,94.0,63.33,NIT,7.0,80.4,80.25,51.58,58.46,56.05,hybrid (tfidf)
52,CAND_0284,Candidate_284,senior,10,Kolkata,39.7,15,34.82,53.06,2/8,"nlp, sql",71.39,85,56.8,41.59,10.0,89.0,68.67,NIT,8.76,85.0,96.25,51.14,58.63,56.01,hybrid (tfidf)
53,CAND_0195,Candidate_195,senior,7,Hyderabad,25.6,90,32.79,54.23,2/8,"python, ml",89.76,100,91.1,38.92,10.0,82.3,62.82,NIT,6.93,80.0,75.25,51.24,58.4,55.89,hybrid (tfidf)
54,CAND_0098,Candidate_98,mid,2,Kolkata,44.1,15,22.97,51.69,0/8,,84.0,80,100.0,54.06,73.3,25.1,81.94,BITS,9.38,63.55,87.5,50.79,58.4,55.74,hybrid (tfidf)
55,CAND_0157,Candidate_157,mid,3,Delhi,14.4,60,20.39,51.29,0/8,,98.5,100,100.0,40.99,10.0,87.5,68.89,IIT,7.59,80.0,85.05,50.48,58.56,55.73,hybrid (tfidf)
56,CAND_0099,Candidate_99,senior,11,Pune,59.0,15,40.8,53.88,3/8,"python, ml, sql",78.5,80,67.1,36.54,42.0,28.4,82.41,IIT,8.93,69.99,67.45,51.31,58.07,55.71,hybrid (tfidf)
57,CAND_0200,Candidate_200,mid,2,Kolkata,47.8,0,23.95,52.18,1/8,sql,67.95,80,67.0,50.75,38.9,68.6,79.42,NIT,9.72,94.37,96.25,50.85,58.27,55.67,hybrid (tfidf)
58,CAND_0029,Candidate_29,mid,2,Mumbai,44.4,90,36.09,56.68,2/8,"python, nlp",63.0,80,40.0,61.77,38.8,96.2,57.62,Tier-3,8.96,89.58,75.25,51.22,58.05,55.66,hybrid (tfidf)
59,CAND_0282,Candidate_282,senior,10,Mumbai,10.6,15,41.32,55.38,3/8,"python, ml, sql",74.5,85,48.6,30.02,26.7,35.0,66.83,IIT,6.28,90.01,80.25,51.33,57.9,55.6,hybrid (tfidf)
60,CAND_0131,Candidate_131,senior,5,Delhi,23.9,30,29.58,52.02,2/8,"python, sql",93.45,100,92.0,30.79,27.4,35.9,64.36,IIT,6.97,79.41,87.5,50.78,58.1,55.54,hybrid (tfidf)
61,CAND_0401,Candidate_401,mid,3,Chennai,46.4,30,35.65,55.43,2/8,"nlp, sql",77.5,100,40.0,44.6,10.0,96.5,63.2,NIT,8.01,61.25,96.25,51.14,57.84,55.5,hybrid (tfidf)
62,CAND_0074,Candidate_74,senior,5,Bangalore,24.4,60,23.86,54.24,0/8,,81.9,100,59.0,59.16,42.5,84.2,48.07,NIT,6.45,71.27,100.0,51.24,57.76,55.48,hybrid (tfidf)
63,CAND_0248,Candidate_248,mid,5,Pune,11.9,0,36.16,56.9,2/8,"nlp, sql",84.7,100,67.0,29.09,30.1,27.5,73.57,IIT,6.69,73.99,80.25,51.5,57.5,55.4,hybrid (tfidf)
64,CAND_0350,Candidate_350,junior,2,Ahmedabad,21.6,0,29.84,55.09,1/8,ml,66.9,80,64.0,64.48,40.8,100.0,49.21,Tier-3,8.32,79.17,96.25,50.95,57.74,55.36,hybrid (tfidf)
65,CAND_0193,Candidate_193,mid,3,Pune,47.8,30,29.44,53.94,1/8,ml,91.5,100,80.0,32.07,33.9,29.3,64.06,Tier-2,9.5,68.11,96.25,51.11,57.58,55.31,hybrid (tfidf)
66,CAND_0198,Candidate_198,mid,4,Hyderabad,41.6,90,27.7,55.92,1/8,python,86.3,100,78.0,45.15,68.3,10.5,75.55,NIT,9.19,68.97,75.25,51.44,57.4,55.31,hybrid (tfidf)
67,CAND_0347,Candidate_347,mid,3,Mumbai,4.7,60,26.33,52.02,1/8,ml,91.5,100,80.0,26.9,26.1,28.1,88.01,IIT,8.67,78.86,80.25,50.93,57.58,55.25,hybrid (tfidf)
68,CAND_0094,Candidate_94,senior,7,Bangalore,42.5,15,44.26,56.82,3/8,"python, ml, nlp",78.1,100,57.8,19.36,10.0,33.4,75.22,IIT,7.43,56.2,100.0,51.79,57.09,55.23,hybrid (tfidf)
69,CAND_0049,Candidate_49,senior,12,Pune,33.4,90,35.41,54.73,2/8,"ml, nlp",80.94,75,85.6,54.81,27.7,95.4,38.2,Tier-3,6.81,76.59,75.25,51.35,57.3,55.22,hybrid (tfidf)
70,CAND_0273,Candidate_273,senior,8,Pune,5.2,15,29.72,54.73,1/8,python,81.0,95,70.0,47.88,74.4,8.0,72.39,IIT,8.07,65.84,80.25,51.51,57.2,55.21,hybrid (tfidf)
71,CAND_0150,Candidate_150,senior,6,Delhi,12.1,0,44.15,56.51,3/8,"ml, nlp, sql",83.75,100,70.7,22.03,31.9,7.3,76.17,NIT,8.76,57.93,80.45,51.66,57.09,55.19,hybrid (tfidf)
72,CAND_0274,Candidate_274,senior,8,Hyderabad,37.9,15,29.15,53.1,1/8,nlp,80.0,95,58.6,41.79,10.0,89.5,72.6,IIT,8.1,65.0,96.25,50.96,57.25,55.05,hybrid (tfidf)
73,CAND_0169,Candidate_169,senior,12,Bangalore,37.9,60,35.34,54.54,2/8,"nlp, sql",76.28,75,72.2,27.47,32.4,20.1,92.5,IIT,9.8,52.84,100.0,51.65,56.86,55.04,hybrid (tfidf)
74,CAND_0489,Candidate_489,junior,2,Pune,20.0,60,32.25,52.67,2/8,"ml, nlp",77.0,80,80.0,34.37,34.9,33.6,67.85,NIT,7.62,87.61,87.5,51.12,57.1,55.01,hybrid (tfidf)
75,CAND_0219,Candidate_219,mid,4,Hyderabad,53.1,90,26.22,51.69,1/8,nlp,82.45,100,67.0,57.54,77.4,27.8,57.36,IIT,6.01,86.11,65.33,50.75,57.24,54.97,hybrid (tfidf)
76,CAND_0441,Candidate_441,mid,4,Pune,4.0,15,29.24,53.36,1/8,nlp,87.75,100,65.0,32.5,30.4,35.6,52.16,Tier-3,8.21,97.41,80.25,51.29,56.91,54.94,hybrid (tfidf)
77,CAND_0079,Candidate_79,senior,10,Delhi,16.3,90,35.28,54.38,2/8,"python, sql",68.14,85,41.1,70.35,94.2,34.6,29.93,Tier-3,6.19,97.72,59.1,51.06,56.91,54.86,hybrid (tfidf)
78,CAND_0390,Candidate_390,senior,8,Pune,53.4,0,38.24,55.86,2/8,"python, ml",79.06,95,64.4,20.67,14.6,29.8,87.5,IIT,8.6,76.0,76.62,51.55,56.6,54.83,hybrid (tfidf)
79,CAND_0278,Candidate_278,senior,5,Mumbai,15.4,15,35.23,54.24,2/8,"nlp, sql",81.5,100,68.6,31.49,34.3,27.3,51.81,Tier-2,7.82,84.73,87.05,51.07,56.53,54.62,hybrid (tfidf)
80,CAND_0487,Candidate_487,mid,3,Ahmedabad,27.5,0,38.29,53.69,3/8,"python, ml, sql",77.5,100,40.0,37.41,37.5,37.2,51.07,Tier-2,6.69,64.14,96.25,51.24,56.42,54.6,hybrid (tfidf)
81,CAND_0341,Candidate_341,mid,3,Kolkata,16.0,30,20.31,51.06,0/8,,79.25,100,45.0,36.86,34.0,41.1,80.5,IIT,7.64,95.81,88.25,50.68,56.62,54.54,hybrid (tfidf)
82,CAND_0287,Candidate_287,senior,5,Ahmedabad,9.2,60,26.92,53.7,1/8,python,84.7,100,67.0,41.93,12.6,86.0,67.99,Tier-2,9.01,71.85,80.25,51.33,56.27,54.54,hybrid (tfidf)
83,CAND_0137,Candidate_137,mid,3,Hyderabad,36.0,0,35.51,52.72,3/8,"ml, nlp, sql",79.25,100,45.0,47.52,12.5,100.0,43.31,Tier-2,6.14,58.19,96.25,50.99,56.42,54.52,hybrid (tfidf)
84,CAND_0154,Candidate_154,mid,5,Hyderabad,58.7,90,42.52,58.81,3/8,"python, ml, sql",84.35,100,66.0,41.62,16.0,80.0,68.51,IIT,6.51,66.89,38.66,51.33,56.21,54.5,hybrid (tfidf)
85,CAND_0192,Candidate_192,mid,3,Remote,42.9,0,26.22,51.69,1/8,ml,80.75,100,75.0,33.43,31.8,35.8,65.17,BITS,7.08,87.91,96.25,50.58,56.58,54.48,hybrid (tfidf)
86,CAND_0212,Candidate_212,mid,5,Kolkata,32.2,15,32.79,54.23,2/8,"nlp, sql",81.2,100,57.0,43.65,14.9,86.8,38.91,Tier-2,6.05,70.24,96.25,51.31,56.1,54.42,hybrid (tfidf)
87,CAND_0360,Candidate_360,mid,4,Chennai,43.2,30,37.0,59.28,2/8,"python, sql",93.0,100,80.0,24.5,18.6,33.4,50.68,Tier-2,7.15,50.97,96.25,51.94,55.76,54.42,hybrid (tfidf)
88,CAND_0204,Candidate_204,junior,2,Kolkata,40.4,90,17.5,50.0,0/8,,84.0,80,100.0,46.0,10.0,100.0,81.56,NIT,9.5,86.25,75.25,50.79,56.32,54.38,hybrid (tfidf)
89,CAND_0304,Candidate_304,mid,3,Kolkata,34.3,30,23.81,51.78,1/8,ml,91.5,100,80.0,33.0,29.8,37.9,77.35,BITS,9.78,58.29,96.25,50.59,56.4,54.37,hybrid (tfidf)
90,CAND_0429,Candidate_429,mid,4,Ahmedabad,14.8,90,23.59,51.16,1/8,python,74.05,100,43.0,80.68,86.8,71.5,43.65,Tier-2,6.7,84.39,56.1,50.74,56.3,54.36,hybrid (tfidf)
91,CAND_0095,Candidate_95,mid,2,Pune,24.9,0,23.75,53.94,0/8,,63.0,80,40.0,53.56,22.6,100.0,86.2,IIT,9.45,72.27,96.25,50.95,56.1,54.3,hybrid (tfidf)
92,CAND_0132,Candidate_132,mid,2,Delhi,33.8,90,31.72,53.5,1/8,sql,71.75,80,65.0,38.13,43.2,30.6,81.65,BITS,9.34,82.2,75.25,50.98,56.07,54.29,hybrid (tfidf)
93,CAND_0113,Candidate_113,junior,1,Remote,23.5,30,27.75,56.08,1/8,nlp,69.5,60,100.0,57.11,32.4,94.2,66.66,IIT,6.77,58.86,96.25,50.87,56.07,54.25,hybrid (tfidf)
94,CAND_0241,Candidate_241,junior,2,Chennai,25.5,15,32.49,53.36,2/8,"python, sql",77.0,80,80.0,36.35,34.5,39.1,70.67,BITS,7.32,68.48,87.5,50.91,55.9,54.15,hybrid (tfidf)
95,CAND_0115,Candidate_115,mid,2,Chennai,54.3,60,23.85,51.89,1/8,ml,77.0,80,80.0,51.59,34.2,77.7,60.4,BITS,6.94,82.2,82.49,50.88,55.89,54.14,hybrid (tfidf)
96,CAND_0414,Candidate_414,fresher,0,Bangalore,52.4,15,25.05,55.33,1/8,nlp,34.5,40,20.0,79.67,67.5,98.0,81.38,IIT,7.76,90.27,92.32,50.83,55.84,54.09,hybrid (tfidf)
97,CAND_0140,Candidate_140,fresher,0,Hyderabad,32.3,60,29.49,51.77,2/8,"ml, nlp",34.5,40,20.0,77.85,76.5,79.9,80.55,BITS,9.19,77.58,96.25,50.71,55.89,54.08,hybrid (tfidf)
98,CAND_0254,Candidate_254,junior,2,Chennai,49.3,60,23.81,51.77,1/8,nlp,79.5,80,100.0,52.86,31.6,84.8,64.88,IIT,7.04,55.58,96.25,50.76,55.82,54.05,hybrid (tfidf)
99,CAND_0197,Candidate_197,mid,4,Mumbai,41.6,60,29.41,51.54,2/8,"ml, nlp",79.65,100,59.0,38.37,38.3,38.4,54.11,Tier-2,8.65,73.97,96.25,50.99,55.69,54.04,hybrid (tfidf)
100,CAND_0283,Candidate_283,mid,3,Mumbai,45.0,30,27.0,53.94,1/8,python,70.75,100,40.0,48.71,74.2,10.4,75.82,BITS,9.57,60.49,96.25,50.83,55.69,53.99,hybrid (tfidf)
101,CAND_0048,Candidate_48,mid,5,Delhi,57.5,30,29.55,54.24,1/8,ml,75.95,100,42.0,60.18,33.6,100.0,52.75,Tier-3,9.32,73.29,63.5,51.39,55.36,53.97,hybrid (tfidf)
102,CAND_0397,Candidate_397,junior,2,Mumbai,29.8,30,29.72,54.73,1/8,sql,84.0,80,100.0,32.49,34.5,29.4,70.71,NIT,9.04,55.88,96.25,51.07,55.53,53.97,hybrid (tfidf)
103,CAND_0473,Candidate_473,mid,3,Ahmedabad,25.5,0,29.54,54.23,1/8,sql,87.55,100,88.0,22.15,31.3,8.4,83.75,IIT,8.6,55.36,96.25,50.75,55.65,53.93,hybrid (tfidf)
104,CAND_0320,Candidate_320,senior,11,Pune,47.9,0,38.0,55.18,2/8,"python, sql",75.44,80,77.7,18.52,9.7,31.8,74.64,IIT,7.35,69.17,96.25,51.28,55.34,53.92,hybrid (tfidf)
105,CAND_0199,Candidate_199,junior,2,Kolkata,4.3,30,30.4,56.68,1/8,python,64.75,80,45.0,58.81,78.8,28.9,77.93,IIT,8.83,54.73,80.25,51.34,55.24,53.88,hybrid (tfidf)
106,CAND_0496,Candidate_496,junior,2,Pune,57.0,15,26.92,53.69,1/8,nlp,70.4,80,74.0,63.85,39.7,100.0,56.24,Tier-3,8.77,72.42,73.85,51.19,55.31,53.87,hybrid (tfidf)
107,CAND_0078,Candidate_78,junior,1,Hyderabad,49.3,60,26.92,53.69,1/8,python,48.5,60,40.0,74.67,77.8,70.0,63.59,IIT,6.35,74.02,96.25,50.69,55.57,53.86,hybrid (tfidf)
108,CAND_0040,Candidate_40,mid,2,Kolkata,8.2,0,20.6,51.89,0/8,,84.0,80,100.0,63.66,83.4,34.0,46.12,Tier-2,7.04,75.88,71.5,50.47,55.47,53.72,hybrid (tfidf)
109,CAND_0261,Candidate_261,mid,5,Chennai,45.0,60,26.46,52.39,1/8,ml,80.12,100,70.0,42.86,16.8,82.0,66.38,NIT,8.96,65.87,87.5,50.75,55.25,53.68,hybrid (tfidf)
110,CAND_0457,Candidate_457,junior,2,Delhi,34.3,0,23.56,51.06,1/8,ml,69.35,80,71.0,62.46,38.0,99.1,55.79,NIT,6.48,63.65,96.25,50.7,55.14,53.58,hybrid (tfidf)
111,CAND_0203,Candidate_203,mid,4,Delhi,33.8,15,24.14,55.04,0/8,,87.0,100,80.0,38.48,12.1,78.0,66.58,IIT,6.76,53.53,96.25,51.01,54.94,53.57,hybrid (tfidf)
112,CAND_0285,Candidate_285,mid,4,Kolkata,27.8,60,23.24,52.46,0/8,,93.0,100,80.0,18.23,10.0,30.6,75.81,BITS,8.54,70.4,96.25,50.94,54.96,53.55,hybrid (tfidf)
113,CAND_0402,Candidate_402,fresher,0,Bangalore,6.1,30,22.32,56.82,0/8,,34.5,40,20.0,84.5,76.3,96.8,76.02,NIT,8.74,91.25,84.0,51.55,54.62,53.55,hybrid (tfidf)
114,CAND_0021,Candidate_21,mid,4,Mumbai,29.8,0,23.51,50.92,1/8,python,83.85,100,71.0,34.09,38.9,26.9,68.57,Tier-2,9.09,75.42,87.5,50.98,54.79,53.45,hybrid (tfidf)
115,CAND_0424,Candidate_424,senior,9,Hyderabad,43.6,15,40.85,54.05,3/8,"python, ml, sql",69.9,90,42.2,17.06,10.0,27.7,72.3,NIT,8.23,70.6,96.25,51.21,54.62,53.43,hybrid (tfidf)
116,CAND_0110,Candidate_110,junior,2,Remote,48.2,60,21.26,53.77,0/8,,71.75,80,65.0,57.69,34.7,92.2,63.64,IIT,6.87,60.36,96.25,50.88,54.57,53.28,hybrid (tfidf)
117,CAND_0253,Candidate_253,junior,2,Hyderabad,44.7,15,23.7,51.47,1/8,python,64.75,80,45.0,63.53,88.0,26.8,71.11,NIT,9.61,50.63,96.25,50.69,54.59,53.22,hybrid (tfidf)
118,CAND_0117,Candidate_117,mid,5,Delhi,30.7,30,26.33,52.02,1/8,ml,81.9,100,59.0,42.29,13.9,84.9,60.14,NIT,7.59,62.33,87.5,50.73,54.53,53.2,hybrid (tfidf)
